PID,Civic Address,Contact,Community,Pad Fee,Term,Source,Listing,lat,lon,Website,satellite,Streetview,Municipality,Zone Code,Zone Description,Width,Depth,Lot Size,Gross Taxes,BCA Description,2024 Assessed Land Value,2024 Assessed Total Value,Transacted,Transacted Year,Transaction Details
028-265-912,375 HORSE LAKE RD 100 Mile House BC V0K 2E1,,All Ages,,,Phone Call - 4/30/2024,,51.6362044,-121.2935229,,"https://www.google.com/maps/place/375+Horse+Lake+Rd,+100+Mile+House,+BC+V0K+2E0/@51.636188,-121.2947242,337m/data=!3m1!1e3!4m6!3m5!1s0x53806c1a12a3a275:0x1ae8e0a520ae6e58!8m2!3d51.6362151!4d-121.293504!16s%2Fg%2F11vkgj9p09?entry=ttu","https://www.google.com/maps/@51.6377029,-121.2937069,3a,45.5y,225.02h,86.75t/data=!3m6!1e1!3m4!1sQq6gXteETe_1Hyqhq9gjrA!2e0!7i16384!8i8192?entry=ttu",100 Mile House,R-6,Residential Mobile Home Park Zone,-,-,537094.8,12475.02,MOBILE HOME PARK,1488000,1884000,,,
006-494-471,867 SCOTT RD 100 Mile House BC,,Unknown,Unknown,,,,51.63307999,-121.3016963,,"https://www.google.com/maps/place/867+Scott+Rd,+100+Mile+House,+BC+V0K+2E1/@51.6330876,-121.3019689,202m/data=!3m1!1e3!4m6!3m5!1s0x53806c17ff55ced5:0xd2795bc13ef25266!8m2!3d51.633033!4d-121.301665!16s%2Fg%2F11c247ltvy?entry=ttu","https://www.google.com/maps/@51.63307,-121.3020318,3a,75y,97.47h,90t/data=!3m6!1e1!3m4!1sstrANAe5WJbNjNffs6oXeA!2e0!7i16384!8i8192?entry=ttu",100 Mile House,R-6,Residential Mobile Home Park Zone,-,-,48352,1985.64,MOBILE HOME PARK,172000,218400,,,
003-074-064,208 EIGHTH ST 100 Mile House BC,,55+,Unknown,,,,51.6359321,-121.3066399,,"https://www.google.com/maps/place/208+8+St,+100+Mile+House,+BC+V0K+2E1/@51.6304018,-121.3055375,586a,35y,347.19h,44.88t/data=!3m1!1e3!4m6!3m5!1s0x53806c22173c1919:0x6c32d5daf04cd7!8m2!3d51.6360981!4d-121.3081792!16s%2Fg%2F11ksnvrrvd?entry=ttu",,100 Mile House,R-6,Residential Mobile Home Park Zone,-,-,604612.8,13976.97,MOBILE HOME PARK,1303000,2127000,,,
002-792-044,3274 HORN ST Abbotsford BC V2S 7Y7,,55+,739,Monthly,,https://www.rew.ca/properties/5722291/67-3300-horn-street-abbotsford-bc,49.06164728,-122.307947,,"https://www.google.com/maps/place/3274+Horn+St,+Abbotsford,+BC+V2S+7B8/@49.0615907,-122.3098686,506m/data=!3m1!1e3!4m6!3m5!1s0x5484356c3a64aa3b:0xf0279fee72362150!8m2!3d49.0615717!4d-122.3079354!16s%2Fg%2F11pz7lkkk8?entry=ttu","https://www.google.com/maps/@49.0617986,-122.3080492,3a,59.1y,56.31h,82.58t/data=!3m6!1e1!3m4!1s2l8qggj0sTNtSZk-FnAVTQ!2e0!7i16384!8i8192?entry=ttu",Abbotsford,RH1,Manufactured Home Park Zone,-,-,737165.88,56910.99,MOBILE HOME PARK,11021000,14890000,,,
005-812-321,2035 MARTENS ST Abbotsford BC V2T 6M4,,55+,678.55,Monthly,,https://rennie.com/listings/30-2035-martens-street-abbotsford-bc-v4n-3c9,49.03923587,-122.3518123,,"https://www.google.com/maps/place/2035+Martens+St,+Abbotsford,+BC+V2T+6M3/@49.03917,-122.3544316,714m/data=!3m2!1e3!4b1!4m6!3m5!1s0x5485caa562f2f859:0xc028939ea93f3808!8m2!3d49.0391665!4d-122.3518513!16s%2Fg%2F11v09h61wm?entry=ttu","https://www.google.com/maps/@49.0393364,-122.3513668,3a,68.9y,283.8h,89.62t/data=!3m6!1e1!3m4!1sJsMtCV4rKowTuDrEFd-f-Q!2e0!7i16384!8i8192?entry=ttu",Abbotsford,RH1,Manufactured Home Park Zone,-,-,416869.2,30483.91,MOBILE HOME PARK,7610000,7751000,,,
006-226-710,31313 LIVINGSTONE AV Abbotsford BC V2T 4T1,,55+,,,Phone Call - 4/30/2024,,49.04857883,-122.3563703,,"https://www.google.com/maps/place/Paradise+Park/@49.0480339,-122.3568477,714m/data=!3m1!1e3!4m15!1m8!3m7!1s0x5485cab65801a191:0x4fbf9acf5bd23205!2s31313+Livingstone+Ave,+Abbotsford,+BC+V2T+4T2!3b1!8m2!3d49.0481074!4d-122.3567982!16s%2Fg%2F11c0r5p656!3m5!1s0x5485cb2ecac2c20f:0xe254c6c921f2131c!8m2!3d49.0485377!4d-122.3563949!16s%2Fg%2F11ny4lbm75?entry=ttu","https://www.google.com/maps/@49.0482265,-122.3565023,3a,59.1y,47.26h,80.9t/data=!3m6!1e1!3m4!1s4jztj5Tc_7UE-ZiAzr9jyw!2e0!7i16384!8i8192?entry=ttu",Abbotsford,RH1,Manufactured Home Park Zone,-,-,553647.6,43065.73,MOBILE HOME PARK,7610000,10048000,,,
000-555-347,29666 FRASER HY Abbotsford BC,778-716-2366,RV hookups,300,Weekly,Phone Call - 4/30/2024,,49.05763603,-122.4024241,https://www.travel-british-columbia.com/listings/aloha-rv-park/,"https://www.google.com/maps/place/Aloha+RV+Park+%26+Campsite/@49.0572765,-122.4028626,347m/data=!3m1!1e3!4m6!3m5!1s0x5485cae1bbd6cae7:0xd71f90c2b45d4b49!8m2!3d49.0572845!4d-122.4023597!16s%2Fg%2F1tdclnbc?entry=ttu","https://www.google.com/maps/place/Aloha+RV+Park+%26+Campsite/@49.0576353,-122.4023934,3a,35.9y,161.25h,90.74t/data=!3m6!1e1!3m4!1s2gucrTV2hJgwYxi34bymSA!2e0!7i16384!8i8192!4m14!1m7!3m6!1s0x5485cae1bbd6cae7:0xd71f90c2b45d4b49!2sAloha+RV+Park+%26+Campsite!8m2!3d49.0572845!4d-122.4023597!16s%2Fg%2F1tdclnbc!3m5!1s0x5485cae1bbd6cae7:0xd71f90c2b45d4b49!8m2!3d49.0572845!4d-122.4023597!16s%2Fg%2F1tdclnbc?entry=ttu",Abbotsford,CRCRH1,Recreation & Campground ZoneManufactured Home Park Zone,-,-,220849.2,29037.49,MOBILE HOME PARK,5348000,6450000,,,
003-470-318,3495 ADAIR ST Armstrong BC V0E 1B2,,Unknown,Unknown,Unknown,,,50.44795399,-119.2048336,,"https://www.google.com/maps/place/3495+Adair+St,+Armstrong,+BC+V0E+1B2/@50.4477066,-119.2068471,337m/data=!3m1!1e3!4m6!3m5!1s0x537e7c7ef52f6b53:0xec7fa92f9d657b8d!8m2!3d50.4478276!4d-119.2047746!16s%2Fg%2F11jdhh_zfr?entry=ttu","https://www.google.com/maps/@50.4475649,-119.2045718,3a,75y,264.19h,95.9t/data=!3m6!1e1!3m4!1sjCp1iiHksys4vHbx1X3m5A!2e0!7i13312!8i6656?entry=ttu",Armstrong,RMP,Mobile Home Park,-,-,194277.6,-,MOBILE HOME PARK,1362000,1555000,,,
030-927-901,1000 MESA VISTA CT Ashcroft BC V0K 1A0,,Unknown,Unknown,Unknown,,,50.71227156,-121.2806019,,"https://www.google.com/maps/place/1000+Mesa+Vista+Ct,+Ashcroft,+BC+V0K+1A0/@50.7125629,-121.2813462,487m/data=!3m1!1e3!4m5!3m4!1s0x54804751df4a4c0f:0x33b993f559fc2a8b!8m2!3d50.7160337!4d-121.2806615?entry=ttu","https://www.google.com/maps/@50.7122659,-121.2805083,3a,90y,342.69h,71.5t/data=!3m6!1e1!3m4!1sTdp8nFHm60PITkiIE1exAw!2e0!7i16384!8i8192?entry=ttu",Ashcroft,MH1,Mobile Home Park 1,-,-,594158.4,-,MOBILE HOME PARK,2061000,2163000,2200000,2019,https://kleingroup.com/properties/429038-Multi-Family-For-Sale-1000-Mesa-Vista-Court-Ashcroft-British-Columbia-Canada-V0K-1A0-CAD2-200-000/
004-484-673,289 TINGLEY ST Ashcroft BC,,,,,,,,,,,,Ashcroft,R1,Residential 1,-,-,13931,-,MOBILE HOME PARK,108000,111500,,,
